date,Abuse Level,Tweet Content,Interest
2017-11-26,1 ,리버럴인지 부라럴인지 쓰까인지는 애호박게이트 보고 느꼈으면 좋겠다. 그렇게 우리편이라고 감싸주는 남게이 씨디 트젠은 가부장제를 지키는 문지기임 알파메일의 꼬봉처럼 그들의 심기를 거스릴까치면 가장 먼저 여자 팬다고,0
2018-01-03,1 ,트젠은 가부장제가 만든 허구의 성을 따르는 놈들이고 여혐을 존나 인정하는 애들인데 걔네랑 여성주의자들이 어떻게 같이가냐 존나ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 대폭소한마당ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ https://t.co/gcg1X6YuS3,100
2018-01-04,1 ,트랜스젠더집단의 네이밍을 '뺏는다'니.. 그 집단이 여성에겐 분명히 유해한 집단인데 '뺏는다'고하면 너무 여성한테만 박한거아닌가? 뭐 백번 봐줘서 트젠도 가부장제의 피해자라지만 트젠 중 대다수는 (모든 mtt로 봐도 무방) 가부장제를 이용해먹어서 여성들한테 엄연히 2차가해하는중인데ㅋㅋㅋ,4
2018-01-07,1 ,한남들도 다 여혐하는거 아닌데 그럼 한남욕도하면 안되죠. 시어머니가 며느리 괴롭히는거나 트젠의 여혐이나 다 가부장제의 산물인데 가부장제의 최대피해자는 여성이고 여성이 가부장제를 비판하는 것에 대해 여성도 기득권이라고 주장하는게 안티페미가 아니면 뭐란말임 https://t.co/3M4ocDlypS,6
2018-01-07,1 ,ㅋㅋㅋㅋ지가먼저 좆진지하게 비유법써가면서 키배떠놓고 이제와서 장난이래ㅋㅋ 트젠은 코르셋끝판왕 가부장제의 꼭두각시다~! 아 조크에요 조크^*^ https://t.co/bEs70xIXLj,1
2018-02-03,1 ,"시팔 진짜 페미니스트한테 요구하는거 더럽게 많네 퀴어인권운동하는 사람이 게이 트젠 버리겠단것도 아니고 여성인권 운동하겠다는데 대체 게이, mtt를 왜 여성들이 안고가야되냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이 똑같은 말을 대체 몇번이나 하게 만드는거야",13
2018-02-03,1 ,음 그러면 여혐하는 게이나 트젠한테 똥꼬충 혹은 젠신병자라고 하는건 안되지만 한남이라하는건 괜찮다는 건가요..? 이건 나도 동의함 근데 똥꼬충이랑 젠신병자라는 말을 랟펨이 많이 쓰게요 한남이 많이 쓰게요? 당신 말의 옳은 부분은 동의하지만 유독 랟펨한테만 이러는게 이해가 안되네요 https://t.co/GBts0JDCy8,0
2018-02-21,1 ,@Ya_o_Ong 아 진짜요?ㅋㅋㅋㅋㅋ 아니 무슨 회사에서 라인타는것도 아니고ㅋㅋㅋㅋㅋ 트젠 인정받으려면 네임드 웩큐한테 줄 잘 서야겠네요 이야 힘들다 정말^^,0
2018-02-26,1 ,트젠한테 포용적인 사람들 찾으실거면 웩큐한테나 가셈 페미니즘에 쓰까먹지마시고 https://t.co/zD4aKgP2zi,5
2018-03-17,1 ,아니 ?????? 래디컬에 트젠 옹호하는 사람이 있을 수 있나?? 성별이분법을 부정하고 가부장제의 철폐가 목적인데  트젠을 어케 옹호하지?? 연민 말고,0
2018-03-30,1 ,아직도 명예살인이 빈번한 파키스탄에서 트젠을 여자앵커로 채용했다고 선전하는걸 보면 mtt 트젠은 가부장제랑 이해관계가 완벽하게 맞아떨어짐 남자가 합법적으로 여자자리까지 뺏는걸 소수자성으로 허울좋게 포장하니까.,1
2018-04-02,1 ,아 그럼 낙태충 생리충 빈궁마마 뽈록이 이런 거는 왜 무시하세요? 우리가 가만히 있는데 똥꼬충 게이 트젠 더럽다 이러면서 난데없이 난리 피우는 겁니까? 세상에 갑자기라는 건 없어요. https://t.co/7My5RopEQk,0
2018-04-21,1 ,"난 이 페미판에서 가부장제, 한남 못버리는 여자들 우쭈쭈 이해시켜서 가고싶은 마음 없다. 한남 못 버릴거면 적어도 부랄 으깨서 보지에 복종 시키는 방향으로라도 뭔가 좀 해보세요. 게이 트젠 얘기에 집중 그만 하자는 것 처럼 기혼여자들한테도 관심 끄고 우리 살길 얘기나 합시다.",0
2018-05-03,1 ,한남충 일러레들 왜저렇게 보지를 불알처럼 그림?? 역겨움ㅋㅋㅋㅋ 불알이 앞뒤로 달린 트젠 빠는거같음,0
2018-05-28,1 ,그리고 무슨 트젠이 래디컬한테 뚜들겨 맞은것처럼 맨날 처얘기하는데 비수술MTT레즈비언트젠이 페미니즘세미나가서 성폭행한거랑 외국에서 트젠이 방망이들고 페미시위가서 6터프년들9 패러다닌건 봤는데 그 반대는 못봐서ㅠㅠ트젠웩큐쓰까성님들 알려주세요~!!~!,2
2018-05-30,1 ,"공부하는 웩큐들도 안쓰럽다.... 방금 누굴 봤는데 언급은 안하겠음.... 에휴.. 공부하는 방향이 어째 트젠쪽인건지.... 저기요, 그래봤자 트젠은 낙태죄 폐지, 범죄수사에서의 성차별, 몰카, 임금차별 같은 실질적인 여성 문제엔 좆도 신경안씀ㅋㅋㅋㅋㅋ",0
2018-06-26,1 ,@VSGQsqzli2SoJYB 맞아요맞아요 페미하는 여자들이 활동도열심히하고 성과도좋고 목소리도커서 거기에 비비려고 트젠의 젠더를 페미가 말하는 젠더랑 비빌려고 연구까지하잖아요 진짜더럽다;;; 애시당초 사회적성역할 지지하는 사람이랑 거기서 해방되려는사람이 어떻게 같이 있을수있나 싶고ㅋㅋㅋㅋㅋ,1
2018-08-04,1 ,"@Jairu_N 트젠과 랟펨은 양립할 수 없습니다. 트젠이 남성사회가 규정한 성역할, 젠더에 순응한다면 랟펨은 남성사회의 근원인 가부장제의 타파가 목표기 때문입니다. 챙겨봐야 ftm(female to male,여성이 남성으로) 만 챙기는 게 가능하다 봅니다.",3
2018-08-10,1 ,맞아 이거 예전에 망자방 10명 쯤 있었을 시절에 알려 드린건데 마리 트젠 남캐예요..... 제 취향이 더러워서 죄송합니다!! https://t.co/tKG4lkyv27,3
2018-11-11,1 ,트젠이 여혐사회의부산물인건 맞음 그렇기에 더더욱 여혊사회뿌사야대고...가부장제가사회악이라고해서 거기에 세뇌된 수많은 여성들도 개새끼되는게아니잔 ㅜㅜ 트젠도결국 여혐사회의 피해자가 아닌가...?,1
2018-11-26,1 ,"성소수자가 설마.. 트젠은 아니겠지 ㅋ 설마...기혼여성은 기혼이라는 사회가 강요하는 가부장제 시스템에 동의해서 빼는거고.. 그거빼곤 다 안고가는데? 뭘 다 빼 진짜 얼척없네 ㅋㅋㅋ 누가뺀대?",0
2018-11-26,1 ,"티는 성별정체성이라고 설명해준 순간 찝찝했던 내 기분이 확 풀리면서 내 페미니즘 지향 방향이 래디컬이라는 것을 깨닫,, 그리고 스까들의 역겨움을 동시에 깨달았다 스까들은 여성인권운동가라고 말하면 안된다 젠더를 탈피해야되는데 성고정관념을 그대로 고착하는 트젠을 쉴드친다고?",3
2018-11-30,1 ,그리고 여성혐오와 가부장제 유지자의 죽음같은 거 페미니스트 입장에서 솔직히 기쁩니다. 트젠이 여혐 아니라면 왜 치마입고 마리 기른 다음에 나는 비수술트젠이야 옴.맴.매 온냐들~ ㅇㅈㄹ인지좀 알아오세요 ; 트젠맨들은 어떻게 행동하는지 알아보고.,0
2018-12-16,1 ,"@rich_wish_ @wasinthedark_ 세뇌받아 트젠이 된것입니다. 그들은 가부장제의 피해자이자 성역할의 틀을 굳히고 있습니다. https://t.co/5iRMTK1Kfl",9
2018-12-18,1 ,@Yeobo_yours 물론 트랜스젠더로 정체화하는 이유를 '나는 남자 몸이지만 꾸미는 걸 좋아하고...' 아니냐? 여기서 못 벗어났음 당연히 트젠이 페미니즘보다 먼저 가시화 됐는데 그 당시에 그렇게 안 하면 인정 안 해주니까 선택지 있냐고 해도 그런 사회적 관습에 따랐으니까 결국 가부장제 공고히 하는 거 아니냐며,1
2019-01-03,1 ,가부장제 최대 수혜자 트젠,1
2019-01-30,1 ,트젠꿘들은 매번 내게 6트젠이 정체화 하기까지 겪은 노고와 고통9을 강조하는데 그걸 자세히 알려달라고 하면 절대 안알려준다. 사회적 여남성성에 영향을 받은 정체성이 아니면 뭐냐는 질문에 절대 대답 안한다.,2
